sdate,isalive,islock,vendor,gci,cellname,isp,nettype,gnodebid,cellid,tac,share,shareBandwidth,Bandwidth,nref,pci,arfcnDL,band
2022-08-10 23:24:48,1,0,爱立信,2350101+256,CZ_QX_CQjufuyuangaocengTTERR-1-share,联通,SA,2350101,256,2350080,1,100,100,633984,282,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350101+258,CZ_QX_CQjufuyuangaocengTTERR-3-share,联通,SA,2350101,258,2350080,1,100,100,633984,284,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350101+257,CZ_QX_CQjufuyuangaocengTTERR-2-share,联通,SA,2350101,257,2350080,1,100,100,633984,283,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301441+261,BDBG_XuZhuang_YD3500MERR-share_3,联通,SA,2301441,261,2301440,1,100,100,633984,395,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301441+260,BDBG_XuZhuang_YD3500MERR-share_2,联通,SA,2301441,260,2301440,1,100,100,633984,394,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301441+259,BDBG_XuZhuang_YD3500MERR-share_1,联通,SA,2301441,259,2301440,1,100,100,633984,393,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301441+256,BDBG_BaZhan3500MERR-share_1,联通,SA,2301441,256,2301440,1,100,100,633984,294,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301441+257,BDBG_BaZhan3500MERR-share_2,联通,SA,2301441,257,2301440,1,100,100,633984,295,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301441+258,BDBG_BaZhan3500MERR-share_3,联通,SA,2301441,258,2301440,1,100,100,633984,296,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350307+1024,CZ_QX_CSXdonghaopocun2100MTTERR-1-share,联通,SA,2350307,1024,2350082,1,20,20,428910,165,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350307+1026,CZ_QX_CSXdonghaopocun2100MTTERR-3-share,联通,SA,2350307,1026,2350082,1,20,20,428910,167,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350307+1025,CZ_QX_CSXdonghaopocun2100MTTERR-2-share,联通,SA,2350307,1025,2350082,1,20,20,428910,166,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350581+1026,CZ_QX_QZZniemazhuangcun2100MTTERR-3-share,联通,SA,2350581,1026,2350082,1,20,20,428910,20,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350581+1024,CZ_QX_QZZniemazhuangcun2100MTTERR-1-share,联通,SA,2350581,1024,2350082,1,20,20,428910,18,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350581+1025,CZ_QX_QZZniemazhuangcun2100MTTERR-2-share,联通,SA,2350581,1025,2350082,1,20,20,428910,19,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350110+257,CZ_QX_CQgongshangyinhangTTERR-2-share,联通,SA,2350110,257,2350080,1,100,100,633984,337,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350110+256,CZ_QX_CQgongshangyinhangTTERR-1-share,联通,SA,2350110,256,2350080,1,100,100,633984,336,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350110+258,CZ_QX_CQgongshangyinhangTTERR-3-share,联通,SA,2350110,258,2350080,1,100,100,633984,338,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301560+1159,BDBG_XiangYiLanWan2-SF-2100MERR-share_8,联通,SA,2301560,1159,2301440,1,20,20,428910,879,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301560+1158,BDBG_XiangYiLanWan2-SF-2100MERR-share_7,联通,SA,2301560,1158,2301440,1,20,20,428910,881,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301560+1155,BDBG_XiangYiLanWan2-SF-2100MERR-share_4,联通,SA,2301560,1155,2301440,1,20,20,428910,929,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301560+1154,BDBG_XiangYiLanWan2-SF-2100MERR-share_3,联通,SA,2301560,1154,2301440,1,20,20,428910,921,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301560+1156,BDBG_XiangYiLanWan2-SF-2100MERR-share_5,联通,SA,2301560,1156,2301440,1,20,20,428910,927,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301560+1157,BDBG_XiangYiLanWan2-SF-2100MERR-share_6,联通,SA,2301560,1157,2301440,1,20,20,428910,928,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301560+1152,BDBG_XiangYiLanWan2-SF-2100MERR-share_1,联通,SA,2301560,1152,2301440,1,20,20,428910,923,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301560+1153,BDBG_XiangYiLanWan2-SF-2100MERR-share_2,联通,SA,2301560,1153,2301440,1,20,20,428910,922,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303770+257,BDZZ_HuiYouWangJiao3500MERR-share_2,联通,SA,2303770,257,2303748,1,100,100,633984,37,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303770+261,BDZZ_XiHou_DX3500MERR-share_3,联通,SA,2303770,261,2303748,1,100,100,633984,26,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303770+256,BDZZ_HuiYouWangJiao3500MERR-share_1,联通,SA,2303770,256,2303748,1,100,100,633984,36,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303770+260,BDZZ_XiHou_DX3500MERR-share_2,联通,SA,2303770,260,2303748,1,100,100,633984,25,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303770+258,BDZZ_HuiYouWangJiao3500MERR-share_3,联通,SA,2303770,258,2303748,1,100,100,633984,38,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303770+259,BDZZ_XiHou_DX3500MERR-share_1,联通,SA,2303770,259,2303748,1,100,100,633984,24,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301793+1026,BDGB_HouXinZhuang2100MERR-share_3,联通,SA,2301793,1026,2301698,1,20,20,428910,344,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301793+1024,BDGB_HouXinZhuang2100MERR-share_1,联通,SA,2301793,1024,2301698,1,20,20,428910,342,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301793+1025,BDGB_HouXinZhuang2100MERR-share_2,联通,SA,2301793,1025,2301698,1,20,20,428910,343,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301914+1025,BDGB_XiNiangZhuang2100MERR-share_2,联通,SA,2301914,1025,2301697,1,20,20,428910,91,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301914+1024,BDGB_XiNiangZhuang2100MERR-share_1,联通,SA,2301914,1024,2301697,1,20,20,428910,90,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301914+1026,BDGB_XiNiangZhuang2100MERR-share_3,联通,SA,2301914,1026,2301697,1,20,20,428910,92,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344547+1026,CZ_CX_DLXguobucun2100MTTERR-3-share,联通,SA,2344547,1026,2344194,1,20,20,428910,125,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344547+1025,CZ_CX_DLXguobucun2100MTTERR-2-share,联通,SA,2344547,1025,2344194,1,20,20,428910,124,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344547+1024,CZ_CX_DLXguobucun2100MTTERR-1-share,联通,SA,2344547,1024,2344194,1,20,20,428910,123,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344644+1026,CZ_CX_DLXdadukoucunnan2100MTTERR-3-share,联通,SA,2344644,1026,2344194,1,20,20,428910,230,427980,n1
2022-08-10 23:24:48,1,1,爱立信,2344644+1025,CZ_CX_DLXdadukoucunnan2100MTTERR-2-share,联通,SA,2344644,1025,2344194,0,0,20,428910,229,427980,n1
2022-08-10 23:24:48,1,1,爱立信,2344644+1024,CZ_CX_DLXdadukoucunnan2100MTTERR-1-share,联通,SA,2344644,1024,2344194,0,0,20,428910,228,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350510+1026,CZ_QX_XXZxianzhuangcun2100MTTERR-3-share,联通,SA,2350510,1026,2350082,1,20,20,428910,494,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350510+1025,CZ_QX_XXZxianzhuangcun2100MTTERR-2-share,联通,SA,2350510,1025,2350082,1,20,20,428910,493,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350510+1024,CZ_QX_XXZxianzhuangcun2100MTTERR-1-share,联通,SA,2350510,1024,2350082,1,20,20,428910,492,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344591+1026,CZ_CX_ZFTXshanhuzhuangcun2100MTTERR-3-share,联通,SA,2344591,1026,2344194,1,20,20,428910,203,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344591+1025,CZ_CX_ZFTXshanhuzhuangcun2100MTTERR-2-share,联通,SA,2344591,1025,2344194,1,20,20,428910,202,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344591+1024,CZ_CX_ZFTXshanhuzhuangcun2100MTTERR-1-share,联通,SA,2344591,1024,2344194,1,20,20,428910,201,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344551+1025,CZ_CX_DLXzhangjiayingcunbei2100MTTERR-2-share,联通,SA,2344551,1025,2344194,1,20,20,428910,373,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344551+1024,CZ_CX_DLXzhangjiayingcunbei2100MTTERR-1-share,联通,SA,2344551,1024,2344194,1,20,20,428910,372,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350468+1024,CZ_QX_MCZwangshengwutunxi2100MTTERR-1-share,联通,SA,2350468,1024,2350081,1,20,20,428910,27,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350468+1026,CZ_QX_MCZwangshengwutunxi2100MTTERR-3-share,联通,SA,2350468,1026,2350081,1,20,20,428910,29,427980,n1
